source,target
panamanian pop,tico
greek folk,nisiotika
dark techno,deep minimal techno
dark techno,spanish techno
deep minimal techno,minimal techno
deep minimal techno,spanish techno
deep minimal techno,tech house
deep minimal techno,techno
spanish techno,techno
entehno,greek folk
drama,oratory
drama,reading
oratory,reading
dark techno,ukrainian electronic
ballroom,mambo
avant-garde jazz,modern free jazz
free improvisation,modern free jazz
free jazz,modern free jazz
early avant garde,poetry
early avant garde,screamo
early avant garde,skramz
banjo,new orleans jazz
cabaret,deep adult standards
21st century classical,american contemporary classical
american contemporary classical,austro-german modernism
alternative country,philly indie
philly indie,roots rock
czech folk,mluvene slovo
experimental poetry,poetry
classical countertenor,opera
jaw harp,pinoy traditional
acousmatic,theme
laboratorio,theme
theme,theremin
jazz chileno,nueva cancion
american modern classical,concert band
classical tenor,komedi
komedi,opera
classic colombian pop,vintage tango
brazilian composition,nova mpb
choro,nova mpb
german jazz,hard bop
gospel singers,vintage gospel
cha-cha-cha,vintage spanish pop
trio cubano,trio huasteco
historic orchestral performance,spanish classical
gypsy,russian folk
bolero,trio huasteco
mariachi,trio huasteco
ranchera,trio huasteco
russian chanson,via
deep southern soul,soul blues
classical clarinet,cool jazz
algerian folk,chaabi algerien
dutch experimental,musique concrete
klezmer,yiddish folk
acousmatic,greek contemporary classical
avant-garde,greek contemporary classical
contemporary classical,greek contemporary classical
histoire pour enfants,musique pour enfants
jangle pop,swedish indie rock
power pop,swedish indie rock
swedish indie rock,underground power pop
cha-cha-cha,easy listening
cha-cha-cha,lounge
cuban rumba,easy listening
easy listening,latin jazz
easy listening,mambo
exotica,mambo
lounge,mambo
cornetas y tambores,pasodobles
cornetas y tambores,spanish classical
pasodobles,spanish classical
deep indie rock,oslo indie
cante flamenco,spanish classical
mexican traditional,trio huasteco
copla,mexican traditional
baroque,baroque ensemble
baroque,classical performance
baroque,historically informed performance
baroque,orchestra
baroque ensemble,orchestra
historically informed performance,orchestra
21st century classical,austro-german modernism
chant religieux,monastic
jazz trumpet,jump blues
classical performance,historic orchestral performance
indie dream pop,indie shoegaze
kosovan folk,kosovan pop
french opera,galante era
american romanticism,tin pan alley
historic orchestral performance,orchestral performance
mambo,orquesta cubana
deep adult standards,honky-tonk piano
deep adult standards,old west
exotica,outsider
lounge,outsider
russian jazz,via
library music,melodic hard rock
british jazz,hard bop
avant-garde,danish contemporary classical
contemporary classical,danish contemporary classical
danish contemporary classical,early modern classical
early modern classical,nordic contemporary classical
greek swing,rebetiko
chaabi marocain,classic moroccan pop
chaabi marocain,rai
maghreb,rai
classic tunisian pop,maghreb
cha-cha-cha,exotica
ballroom,folklore ecuatoriano
easy listening,folklore ecuatoriano
cha-cha-cha,orquesta cubana
french jazz,vocal harmony group
nueva ola chilena,surf music
cancion melodica,classic eurovision
classic soundtrack,deep adult standards
hammond organ,spiritual jazz
bagpipe,orkney and shetland folk
bagpipe,pibroch
orkney and shetland folk,pibroch
cante flamenco,copla
copla,flamenco guitar
early modern classical,mexican classical
american modern classical,american romanticism
bolero cubano,merengue
muzica populara,romanian pop
romanian folk,romanian pop
greek swing,neo kyma
russian modern classical,russian romanticism
classical tenor,traditional scottish folk
corsican folk,polyphony
french soundtrack,oriental classical
bolero cubano,puerto rican folk
mod revival,talent show
german oi,german punk
german oi,german rock
historically informed performance,mountain dulcimer
bahamian folk,fingerstyle
american folk revival,contemporary folk
contemporary folk,string folk
band organ,polka
deep free jazz,jazz saxophone
deep free jazz,mambo
jazz brass,space age pop
accordion,space age pop
german literature,hoerspiel
australian classical,light music
accordion,classic italian folk pop
acousmatic,turkish experimental
electroacoustic composition,turkish experimental
acousmatic,african experimental
acousmatic,oriental classical
african experimental,electroacoustic composition
african experimental,musique concrete
african experimental,oriental classical
african experimental,sound art
electroacoustic composition,oriental classical
electroacoustic composition,sound art
musique concrete,oriental classical
oriental classical,sound art
acousmatic,theremin
avant-garde,theremin
contemporary classical,electroacoustic composition
contemporary classical,theremin
electroacoustic composition,free improvisation
electroacoustic composition,laboratorio
electroacoustic composition,microtonal
electroacoustic composition,theremin
free improvisation,theremin
laboratorio,microtonal
microtonal,theremin
musique concrete,theremin
serialism,tzadik
electric blues,northern soul
northern soul,soul blues
arkansas country,banjo
beach music,southern soul
caucasian folk,georgiana
banjo,memphis blues
jug band,memphis blues
chinese traditional,dizi
adult standards,classic schlager
classic schlager,indorock
classic schlager,vintage dutch pop
indian folk,marathi pop
italian opera,vintage italian soundtrack
classic colombian pop,trio cubano
carnatic,indian rock
carnatic instrumental,indian rock
indian classical,indian rock
orkney and shetland folk,scottish fiddle
